Reference.Code,Student.Number,Sex,Module.Language,Module.Duration,Module.City,module.lat,module.long,Module.Country,Home.Region,Home.Postal.Code
GQKA7194,2015-001-502458,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Michigan,48051
GQNP6156,2015-001-502983,Female,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Maryland,20817
GRQJ8142,2015-001-509620,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Illinois,60623
GTJP9414,2015-001-500985,Male,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,Illinois,60077
GVMR6576,2015-001-500944,Male,Chinese,Year,Beijing,39.9042,116.4074,China,Arizona,85020
GWAP4668,2015-001-501086,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,"Armed Forces Europe (Africa, Canada, Europe, Middle East)",9012
GXRW2189,2015-001-501189,Female,Turkish,Summer,Ankara,39.9334,32.8597,Turkey,California,92679
GXZM2337,2015-001-502889,Female,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,Mississippi,39452
GZFQ4666,2015-001-501165,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,Minnesota,55433
HAFW6885,2015-001-511306,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,Florida,32174
HBUN7794,2015-001-502034,Female,Korean,Year,Seoul,37.5665,126.978,South Korea,Connecticut,6033
HCYB5624,2015-001-501444,Male,Korean,Summer,Seoul,37.5665,126.978,South Korea,Utah,84117
HCYX2435,2015-001-502902,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,North Carolina,28174
HHWS1696,2015-001-502149,Female,Chinese,Summer,Shanghai,31.2304,121.4737,China,New York,10583
HHXY4876,2015-001-509607,Female,Hindi,Summer,Indore,22.7196,75.8577,India,Illinois,60653
HJNR2745,2015-001-511272,Male,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4282
HJXH2564,2015-001-502848,Male,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Connecticut,6840
HJXP1678,2015-001-509615,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,New York,11210
HMRQ1181,2015-001-511276,Male,Chinese,Summer,Harbin,45.8038,126.535,China,New York,10956-2508
HNZR6991,2015-001-509650,Male,Korean,Summer,Seoul,37.5665,126.978,South Korea,Hawaii,96706
HPED7441,2015-001-503188,Female,Persian (Tajik),Summer,Dushanbe,38.5598,68.787,Tajikistan,Ohio,45701
HPEV7813,2015-001-500907,Male,Chinese,Summer,Deyang,31.1269,104.3979,China,Kentucky,40004
